Object Tracking Data File Tue, Nov 24, 2020 11:53 AM
X (pixels)  	Y (pixels)  
669.40	402.48
671.46	403.45
672.49	406.29
674.26	408.81
674.87	411.03
676.23	411.96
675.57	413.18
676.09	412.95
675.80	413.25
675.15	413.24
674.12	414.23
673.86	413.91
673.68	413.05
673.14	412.99
672.02	413.50
670.72	414.23
669.69	413.88
668.84	414.13
668.45	413.58
667.17	413.16
665.84	412.79
662.25	411.17
658.47	408.56
655.97	407.00
653.97	407.68
651.65	407.25
648.45	406.81
644.27	407.90
641.26	412.73
638.47	417.82
635.87	420.52
634.81	422.15
633.34	422.62
632.27	424.89
633.40	424.19
633.81	421.86
633.70	418.52
631.31	415.80
630.77	414.34
631.05	409.48
630.67	409.23
630.52	409.55
631.45	413.41
630.98	417.54
633.17	421.45
635.73	420.80
637.78	420.73
640.17	419.62
641.50	420.14
640.68	418.24
643.38	416.81
643.69	414.46
644.62	412.53
645.90	411.68
644.59	412.84
645.28	414.26
644.12	414.95
643.67	417.13
641.84	422.00
640.72	426.32
639.88	430.03
640.67	433.92
641.45	435.88
642.10	439.04
643.99	442.93
645.04	446.19
645.65	449.12
647.73	451.89
649.58	454.34
651.71	456.22
654.08	457.78
654.42	458.69
656.12	458.36
657.68	456.77
658.86	457.62
659.74	458.01
661.11	459.50
662.04	459.97
661.47	462.24
657.93	463.51
656.03	464.21
654.34	466.77
652.99	468.20
652.00	467.51
651.10	469.03
649.19	472.87
648.00	474.66
646.67	476.54
647.32	475.77
646.77	474.81
646.90	473.85
646.22	473.84
645.45	473.26
645.24	471.43
644.41	473.10
644.50	470.01
644.35	468.61
642.67	471.73
642.90	472.54
643.90	473.33
645.24	472.43
646.32	472.91
647.29	473.76
648.77	474.18
650.11	471.76
651.21	471.44
652.02	470.90
652.67	471.47
652.80	471.96
652.01	473.12
652.05	473.40
651.87	474.52
652.63	473.83
652.27	474.20
651.70	471.34
653.18	466.72
653.11	464.82
653.58	463.40
652.87	462.52
650.71	462.25
