Object Tracking Data File Tue, Nov 24, 2020 11:56 AM
X (pixels)  	Y (pixels)  
990.56	367.20
989.13	366.95
987.53	366.48
986.84	365.31
986.01	364.37
984.87	363.56
984.06	363.44
983.10	362.45
982.12	361.41
981.16	360.38
980.39	359.47
979.43	358.49
978.46	357.49
977.48	356.49
976.47	355.48
975.50	354.50
974.46	353.47
973.48	352.49
972.49	351.50
971.49	351.51
970.48	351.50
969.47	351.54
968.47	351.53
967.48	351.54
966.49	351.53
965.50	351.50
965.49	351.51
964.50	351.50
963.50	351.50
963.50	351.50
962.50	351.50
961.50	351.50
961.50	351.50
960.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.50	351.50
959.49	351.51
958.50	351.50
958.50	351.50
957.50	351.50
957.49	351.50
956.50	351.50
955.50	351.50
954.50	351.50
953.48	351.51
952.49	351.51
951.50	351.50
950.49	351.51
949.49	351.50
948.50	351.51
948.49	351.52
947.50	351.52
947.49	351.51
946.50	351.51
946.50	351.51
946.50	351.51
946.49	351.51
945.49	351.51
944.49	351.52
943.50	351.50
942.50	351.50
941.50	351.50
941.49	351.49
940.50	350.50
939.50	349.50
938.50	349.51
937.49	349.50
936.50	349.50
935.49	349.51
934.51	349.51
934.50	349.51
933.50	349.52
933.49	349.51
932.50	349.50
931.49	349.51
930.50	349.51
930.49	349.53
929.50	349.51
928.50	349.51
928.50	349.51
928.50	349.51
927.51	349.51
927.51	349.51
927.52	349.51
927.51	349.51
927.51	349.50
927.50	349.50
927.50	348.50
926.50	348.51
926.50	348.50
926.52	348.51
926.51	348.50
926.50	348.50
925.50	348.50
925.49	347.50
924.50	346.50
924.50	346.51
924.50	346.50
923.50	346.50
923.51	346.50
923.50	346.50
923.50	346.50
922.50	346.50
921.50	346.51
921.50	346.50
920.50	346.50
919.50	346.50
918.49	346.50
